src,video_name,MOS,CI
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_200kbps_360p_15.0fps_h264.mp4,1.52,0.229686818
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_500kbps_360p_15.0fps_h264.mp4,1.88,0.284476242
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_500kbps_360p_24.0fps_h264.mp4,2.12,0.345458132
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_360p_24.0fps_h264.mp4,2.28,0.310310438
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_500kbps_480p_15.0fps_h264.mp4,1.8,0.277180765
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_480p_15.0fps_h264.mp4,2.4,0.357838829
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_480p_24.0fps_h264.mp4,2.4,0.253030262
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_480p_24.0fps_h264.mp4,3,0.33947572
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_720p_24.0fps_h264.mp4,2.48,0.322452299
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_720p_24.0fps_h264.mp4,2.92,0.390683969
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_720p_30.0fps_h264.mp4,2.92,0.297673731
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_720p_30.0fps_h264.mp4,3.64,0.317651253
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_1080p_24.0fps_h264.mp4,2.84,0.352066856
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_1080p_24.0fps_h264.mp4,3.08,0.356404599
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_1080p_30.0fps_h264.mp4,3.2,0.43826127
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_1080p_30.0fps_h264.mp4,3.6,0.357838829
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_1440p_30.0fps_h264.mp4,3.24,0.344716008
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_1440p_30.0fps_h264.mp4,3.56,0.321657101
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_1440p_60.0fps_h264.mp4,3.44,0.409252495
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_8000kbps_1440p_60.0fps_h264.mp4,3.56,0.409252495
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_2160p_30.0fps_h264.mp4,3.56,0.424608605
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_8000kbps_2160p_30.0fps_h264.mp4,3.52,0.409877786
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_8000kbps_2160p_60.0fps_h264.mp4,3.64,0.337204954
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_15000kbps_2160p_60.0fps_h264.mp4,4.16,0.369805265
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_200kbps_360p_15.0fps_h264.mp4,1.08,0.108537891
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_500kbps_360p_15.0fps_h264.mp4,1.48,0.256048623
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_500kbps_360p_24.0fps_h264.mp4,1.36,0.249975459
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_360p_24.0fps_h264.mp4,1.84,0.292466208
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_500kbps_480p_15.0fps_h264.mp4,1.6,0.277180765
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_480p_15.0fps_h264.mp4,1.8,0.33947572
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_480p_24.0fps_h264.mp4,1.92,0.275326692
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_480p_24.0fps_h264.mp4,2.48,0.27993885
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_720p_24.0fps_h264.mp4,2,0.320060778
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_720p_24.0fps_h264.mp4,2.56,0.301095381
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_720p_30.0fps_h264.mp4,2.76,0.305318523
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_720p_30.0fps_h264.mp4,3.48,0.359979459
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_1080p_24.0fps_h264.mp4,2.64,0.337204954
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_1080p_24.0fps_h264.mp4,3.24,0.305318523
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_1080p_30.0fps_h264.mp4,3.72,0.349145089
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_1080p_30.0fps_h264.mp4,3.92,0.337963571
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_1440p_30.0fps_h264.mp4,3.72,0.400395906
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_1440p_30.0fps_h264.mp4,4,0.277180765
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_1440p_60.0fps_h264.mp4,4.24,0.305318523
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_8000kbps_1440p_60.0fps_h264.mp4,4.2,0.33947572
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_2160p_30.0fps_h264.mp4,3.88,0.306156162
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_8000kbps_2160p_30.0fps_h264.mp4,4.16,0.313594238
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_8000kbps_2160p_60.0fps_h264.mp4,4.32,0.370497137
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000kbps_2160p_60.0fps_h264.mp4,4.72,0.212304302
