videoName,DMOS,std
Beauty_1080p_120hz_q_27,35.21201634,9.430060936
Beauty_1080p_120hz_q_29,38.75524102,10.79552139
Beauty_1080p_120hz_q_35,55.40564107,10.55510157
Beauty_1080p_120hz_q_41,67.73293678,8.744824699
Beauty_1080p_60hz_q_25,35.78369944,7.582021405
Beauty_1080p_60hz_q_33,47.93685266,12.72975124
Beauty_1080p_60hz_q_39,62.891979,9.397113814
Beauty_2160p_120hz_q_29,31.91618425,7.565581204
Beauty_2160p_120hz_q_33,37.30332318,12.39297437
Beauty_2160p_120hz_q_37,44.62121306,11.65730174
Beauty_2160p_120hz_q_43,56.75234107,10.93508707
Beauty_2160p_120hz_q_49,73.25978631,10.00717697
Beauty_2160p_60hz_q_31,33.71197097,9.152759081
Beauty_2160p_60hz_q_35,39.369103,10.23328618
Beauty_2160p_60hz_q_39,51.38199195,10.29414289
Beauty_2160p_60hz_q_45,66.88668399,8.490524797
Beauty_540p_120hz_q_19,33.25341352,9.776047362
Beauty_540p_120hz_q_23,38.20268417,9.107122329
Beauty_540p_120hz_q_29,52.79713703,9.880536787
Beauty_540p_120hz_q_33,63.20028635,10.72609894
Beauty_540p_60hz_q_21,36.58163328,8.508118914
Beauty_540p_60hz_q_27,48.89226739,10.93875121
Beauty_540p_60hz_q_31,53.20244447,10.77559303
Beauty_720p_120hz_q_23,35.28711254,8.854760689
Beauty_720p_120hz_q_27,41.21486666,11.29034348
Beauty_720p_120hz_q_31,54.10814567,11.33126173
Beauty_720p_120hz_q_37,67.49179426,11.77527781
Beauty_720p_60hz_q_21,33.09716466,9.051068998
Beauty_720p_60hz_q_29,47.99606364,10.48784626
Beauty_720p_60hz_q_33,56.87342044,14.35914959
Dancers_1080p_30hz_q_25,36.74844686,12.59271874
Dancers_1080p_30hz_q_29,37.91736605,13.62872331
Dancers_1080p_30hz_q_35,59.77794187,9.985315851
Dancers_1080p_60hz_q_25,33.82136731,9.250555092
Dancers_1080p_60hz_q_31,42.69892258,10.06172828
Dancers_1080p_60hz_q_39,62.56284558,11.55818624
Dancers_2160p_30hz_q_31,39.19037337,9.216650881
Dancers_2160p_30hz_q_35,41.04328059,11.46974362
Dancers_2160p_30hz_q_41,58.94050652,12.05609572
Dancers_2160p_30hz_q_45,70.27243695,9.512934746
Dancers_2160p_60hz_q_25,25.3043008,8.796478133
Dancers_2160p_60hz_q_33,35.36012583,10.28803383
Dancers_2160p_60hz_q_39,50.15550218,11.17089576
Dancers_2160p_60hz_q_45,68.3595034,10.83088806
Dancers_2160p_60hz_q_49,74.28464866,11.15335535
Dancers_540p_30hz_q_17,43.4871679,9.852209943
Dancers_540p_30hz_q_23,43.71062472,10.89538848
Dancers_540p_30hz_q_29,51.42994463,12.32513751
Dancers_540p_60hz_q_21,38.90061776,9.555400019
Dancers_540p_60hz_q_25,43.73034498,11.02742584
Dancers_540p_60hz_q_31,54.40139921,10.75360409
Dancers_720p_30hz_q_21,36.34324749,9.832531917
Dancers_720p_30hz_q_25,36.95481964,10.39933145
Dancers_720p_30hz_q_31,50.60642094,10.89394888
Dancers_720p_60hz_q_23,31.74729178,7.967128961
Dancers_720p_60hz_q_27,39.0456173,10.31622782
Dancers_720p_60hz_q_33,55.53894122,10.94779868
Dinner_1080p_30hz_q_25,38.0789615,10.42283897
