videoName,contentIndex,sourceSpatialResolution,sourceFrameRate,processedSpatialResolution,processedFrameRateRatio,bitrate,bitrateLevel
Beauty_1080p_120hz_q_27,1,2160,120,1080,1,8.43,2
Beauty_1080p_120hz_q_29,1,2160,120,1080,1,5.98,3
Beauty_1080p_120hz_q_35,1,2160,120,1080,1,2.49,4
Beauty_1080p_120hz_q_41,1,2160,120,1080,1,1.11,5
Beauty_1080p_60hz_q_25,1,2160,120,1080,0.5,8.8,2
Beauty_1080p_60hz_q_33,1,2160,120,1080,0.5,2.21,4
Beauty_1080p_60hz_q_39,1,2160,120,1080,0.5,1.01,5
Beauty_2160p_120hz_q_29,1,2160,120,2160,1,45.02,1
Beauty_2160p_120hz_q_33,1,2160,120,2160,1,9.94,2
Beauty_2160p_120hz_q_37,1,2160,120,2160,1,5.06,3
Beauty_2160p_120hz_q_43,1,2160,120,2160,1,2.33,4
Beauty_2160p_120hz_q_49,1,2160,120,2160,1,1.14,5
Beauty_2160p_60hz_q_31,1,2160,120,2160,0.5,10.97,2
Beauty_2160p_60hz_q_35,1,2160,120,2160,0.5,4.71,3
Beauty_2160p_60hz_q_39,1,2160,120,2160,0.5,2.62,4
Beauty_2160p_60hz_q_45,1,2160,120,2160,0.5,1.26,5
Beauty_540p_120hz_q_19,1,2160,120,540,1,11.81,2
Beauty_540p_120hz_q_23,1,2160,120,540,1,5.41,3
Beauty_540p_120hz_q_29,1,2160,120,540,1,2.24,4
Beauty_540p_120hz_q_33,1,2160,120,540,1,1.25,5
Beauty_540p_60hz_q_21,1,2160,120,540,0.5,4.8,3
Beauty_540p_60hz_q_27,1,2160,120,540,0.5,2,4
Beauty_540p_60hz_q_31,1,2160,120,540,0.5,1.16,5
Beauty_720p_120hz_q_23,1,2160,120,720,1,8.62,2
Beauty_720p_120hz_q_27,1,2160,120,720,1,4.44,3
Beauty_720p_120hz_q_31,1,2160,120,720,1,2.49,4
Beauty_720p_120hz_q_37,1,2160,120,720,1,1.06,5
Beauty_720p_60hz_q_21,1,2160,120,720,0.5,9.37,2
Beauty_720p_60hz_q_29,1,2160,120,720,0.5,2.22,4
Beauty_720p_60hz_q_33,1,2160,120,720,0.5,1.29,5
Dancers_1080p_30hz_q_25,2,2160,60,1080,0.5,1.26,2
Dancers_1080p_30hz_q_29,2,2160,60,1080,0.5,0.71,3
Dancers_1080p_30hz_q_35,2,2160,60,1080,0.5,0.36,5
Dancers_1080p_60hz_q_25,2,2160,60,1080,1,1.73,2
Dancers_1080p_60hz_q_31,2,2160,60,1080,1,0.78,3
Dancers_1080p_60hz_q_39,2,2160,60,1080,1,0.33,5
Dancers_2160p_30hz_q_31,2,2160,60,2160,0.5,1.44,2
Dancers_2160p_30hz_q_35,2,2160,60,2160,0.5,0.82,3
Dancers_2160p_30hz_q_41,2,2160,60,2160,0.5,0.45,4
Dancers_2160p_30hz_q_45,2,2160,60,2160,0.5,0.31,5
Dancers_2160p_60hz_q_25,2,2160,60,2160,1,13.57,1
Dancers_2160p_60hz_q_33,2,2160,60,2160,1,1.45,2
Dancers_2160p_60hz_q_39,2,2160,60,2160,1,0.76,3
Dancers_2160p_60hz_q_45,2,2160,60,2160,1,0.45,4
Dancers_2160p_60hz_q_49,2,2160,60,2160,1,0.32,5
Dancers_540p_30hz_q_17,2,2160,60,540,0.5,1.56,2
Dancers_540p_30hz_q_23,2,2160,60,540,0.5,0.65,3
Dancers_540p_30hz_q_29,2,2160,60,540,0.5,0.32,5
Dancers_540p_60hz_q_21,2,2160,60,540,1,1.16,2
Dancers_540p_60hz_q_25,2,2160,60,540,1,0.7,3
Dancers_540p_60hz_q_31,2,2160,60,540,1,0.34,5
Dancers_720p_30hz_q_21,2,2160,60,720,0.5,1.25,2
Dancers_720p_30hz_q_25,2,2160,60,720,0.5,0.71,3
Dancers_720p_30hz_q_31,2,2160,60,720,0.5,0.35,5
Dancers_720p_60hz_q_23,2,2160,60,720,1,1.29,2
Dancers_720p_60hz_q_27,2,2160,60,720,1,0.77,3
Dancers_720p_60hz_q_33,2,2160,60,720,1,0.38,5
Dinner_1080p_30hz_q_25,3,2160,60,1080,0.5,0.58,2
Dinner_1080p_30hz_q_29,3,2160,60,1080,0.5,0.32,4
Dinner_1080p_30hz_q_33,3,2160,60,1080,0.5,0.2,5
Dinner_1080p_60hz_q_25,3,2160,60,1080,1,0.68,2
Dinner_1080p_60hz_q_31,3,2160,60,1080,1,0.3,4
Dinner_1080p_60hz_q_35,3,2160,60,1080,1,0.21,5
Dinner_2160p_30hz_q_31,3,2160,60,2160,0.5,0.66,2
Dinner_2160p_30hz_q_37,3,2160,60,2160,0.5,0.32,4
Dinner_2160p_30hz_q_41,3,2160,60,2160,0.5,0.22,5
Dinner_2160p_60hz_q_25,3,2160,60,2160,1,4.56,1
Dinner_2160p_60hz_q_33,3,2160,60,2160,1,0.62,2
Dinner_2160p_60hz_q_37,3,2160,60,2160,1,0.43,3
Dinner_2160p_60hz_q_41,3,2160,60,2160,1,0.32,4
Dinner_2160p_60hz_q_49,3,2160,60,2160,1,0.22,5
Dinner_540p_30hz_q_17,3,2160,60,540,0.5,0.76,2
Dinner_540p_30hz_q_21,3,2160,60,540,0.5,0.36,4
Dinner_540p_30hz_q_25,3,2160,60,540,0.5,0.21,5
Dinner_540p_60hz_q_19,3,2160,60,540,1,0.58,2
Dinner_540p_60hz_q_23,3,2160,60,540,1,0.31,4
Dinner_540p_60hz_q_25,3,2160,60,540,1,0.24,5
Dinner_720p_30hz_q_21,3,2160,60,720,0.5,0.58,2
Dinner_720p_30hz_q_25,3,2160,60,720,0.5,0.3,4
Dinner_720p_30hz_q_27,3,2160,60,720,0.5,0.23,5
Dinner_720p_60hz_q_21,3,2160,60,720,1,0.67,2
Dinner_720p_60hz_q_25,3,2160,60,720,1,0.35,4
Dinner_720p_60hz_q_29,3,2160,60,720,1,0.22,5
Discuss_1080p_30hz_q_25,4,2160,60,1080,0.5,2.21,2
Discuss_1080p_30hz_q_29,4,2160,60,1080,0.5,1.08,3
Discuss_1080p_30hz_q_33,4,2160,60,1080,0.5,0.58,4
Discuss_1080p_30hz_q_37,4,2160,60,1080,0.5,0.32,5
