ref_video_name,dis_videoName,MOS,std,width,processedSpatialResolution,processedFrameRateRatio,content_idx
BigBuckBunny_25fps,BigBuckBunny_H264_4 ,6.6724,0.1835,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_4 ,5.8966,0.61392,1280,720,25,1
BigBuckBunny_25fps,BigBuckBunny_H264_3 ,4.931,0.40579,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_3 ,4.4138,0.25123,1280,720,25,1
BigBuckBunny_25fps,BigBuckBunny_H264_2 ,2.6034,0.14963,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_2 ,2.2931,0.24138,1280,720,25,1
BigBuckBunny_25fps,BigBuckBunny_H264_1 ,0.75862,0.22537,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_1 ,0.34483,0.16256,1280,720,25,1
BirdsInCage_30fps,BirdsInCage_H264_4 ,7.069,0.28079,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_4 ,5.7069,0.27709,1280,720,30,2
BirdsInCage_30fps,BirdsInCage_H264_3 ,5.3448,0.21613,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_3 ,3.6724,0.23707,1280,720,30,2
BirdsInCage_30fps,BirdsInCage_H264_2 ,3.431,0.26293,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_2 ,1.2931,0.52709,1280,720,30,2
BirdsInCage_30fps,BirdsInCage_H264_1 ,1.1034,0.56034,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_1 ,0.63793,0.3553,1280,720,30,2
BQTerrace_30fps,BQTerrace_H264_4 ,6.9655,0.24877,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_4 ,5.6552,0.35899,1280,720,30,3
BQTerrace_30fps,BQTerrace_H264_3 ,5.3621,0.49815,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_3 ,3.8793,0.36884,1280,720,30,3
BQTerrace_30fps,BQTerrace_H264_2 ,3.1552,0.23399,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_2 ,1.8793,0.2617,1280,720,30,3
BQTerrace_30fps,BQTerrace_H264_1 ,0.89655,0.43534,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_1 ,0.34483,0.1447,1280,720,30,3
CrowdRun_25fps,CrowdRun_H264_4 ,6.9138,0.25123,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_4 ,5.6379,0.31958,1280,720,25,4
CrowdRun_25fps,CrowdRun_H264_3 ,5.3793,0.5117,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_3 ,3.8621,0.46244,1280,720,25,4
CrowdRun_25fps,CrowdRun_H264_2 ,3.1552,0.41256,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_2 ,1.9828,0.31219,1280,720,25,4
CrowdRun_25fps,CrowdRun_H264_1 ,1.0517,0.39901,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_1 ,0.2931,0.13424,1280,720,25,4
DanceKiss_25fps,DanceKiss_H264_4 ,6.6296,0.53063,1920,1080,25,5
DanceKiss_25fps,DanceKiss_SDH264HD_4 ,6.2037,0.37037,1280,720,25,5
DanceKiss_25fps,DanceKiss_H264_3 ,4.6111,0.50641,1920,1080,25,5
DanceKiss_25fps,DanceKiss_SDH264HD_3 ,4.6296,0.37678,1280,720,25,5
DanceKiss_25fps,DanceKiss_H264_2 ,2.5926,0.25071,1920,1080,25,5
